File,,Home,,Execute,,Search,,Network,,Administration,,Automation,,View,,Help,
-----,,-----,,-----,,-----,,-----,,-----,,-----,,-----,,-----,
MOVE,,--Inteligement mets les categories utilises le plus souvent par l'utilisateur--,,FOLDER NAME,,SEARCH,,DISTANT SHELL,,PERMISSION,,SCRIPT,,COMMAND,,LEARN,
Current directory,pwd,,,script1,./script1.sh,Search for files,find,Connect,ssh,Change file permission,chmod,Execute script,./,Clear screen,clear,Information about a command,man
Change directory,cd,,,…,…,Search for pattern in each files,grep,Move file between computer,scp,Change file owner,chown,Create a script,nano template,-----,,Command Line Tutorial,https://duckduckgo.com/?q=linux+tutorial&t=lm&ia=web
List files,ls,,,,,Search and replace,sed,-----,,Execute as superuser,sudo,     → variables d’environnement,,PARAMETER,,-----,
-----,,,,,,-----,,NETWORK,,-----,,Schedule script,crontab,--autre parametres d'affichage--,,ABOUT US,
SHOW,,,,,,SORT,,Download,wget,USER,,------,,,,Send feedback,
Show file content,cat,,,,,Sort,sort,Ping,ping,Add user,adduser,REDIRECT OUTPUT,,,,Donate,
Show first lines,head,,,,,-----,,Website owner,whois,Change password,passwd,Write in file,>,,,License Information,
Show last lines,tail,,,,,HISTORIC,,Control network interface,ifconfig,Remove user,userdel,Append to file,>>,,,About,
Repeat text,echo,,,,,Used command,history,Control network driver,ethtool,Change user group,usermod,-----,,,,,
-----,,,,,,,,DNS lookup,dig,Current user,id,CHAIN COMMAND,,,,,
EDIT,,,,,,,,,,-----,,,|,,,,
Text editor,nano,,,,,,,,,INSTALL,,,&&,,,,
Delete,rm,,,,,,,,,Install,apt,,||,,,,
Copy,cp,,,,,,,,,Install from binary,make,,,,,,
Move file,mv,,,,,,,,,-----,,,,,,,
Create empty file,touch,,,,,,,,,PROCESS,,,,,,,
Create directory,mkdir,,,,,,,,,List process,ps,,,,,,
Create a link,ln,,,,,,,,,List process in real time,top,,,,,,
-----,,,,,,,,,,Kill process,kill,,,,,,
COMPRESS,,,,,,,,,,-----,,,,,,,
Archive,tar,,,,,,,,,OTHER,,,,,,,
Compress,gzip,,,,,,,,,Mount,mount,,,,,,
Zip folder,zip,,,,,,,,,Time since reboot,uptime,,,,,,
----,,,,,,,,,,Available disk space,free,,,,,,
,,,,,,,,,,Date,date,,,,,,
,,,,,,,,,,Background task,bg,,,,,,
,,,,,,,,,,Foreground task,fg,,,,,,
